항목,남,여,총,비율(%)
뇌졸중,716,636,1352,0.004511013178230998
척추관 협착증 ,812,503,1315,0.0043875608945072204
오십견,823,406,1229,0.0041006177485546575
탈장,909,274,1183,0.003947136530952124
[한방]안면마비 ,609,525,1134,0.0037836456687233375
인격장애,678,454,1132,0.003776972572305836
옴(Scabies),578,382,960,0.003203086280400709
패혈증,532,413,945,0.003153038057269448
폭식증,71,847,918,0.0030629512556331778
알코올중독증,426,361,787,0.002625863440286831
분노조절장애,614,154,768,0.002562469024320567
손목터널증후군,312,445,757,0.0025257669940243086
감염성 관절병증,432,307,739,0.0024657091262667956
난소암,0,738,738,0.002462372578058045
만성폐쇄성폐질환(COPD),445,289,734,0.002449026385223042
온열질환(폭염) ,434,288,722,0.002408987806718033
허혈성 심질환,444,236,680,0.0022688527819505018
결핵,376,281,657,0.002192112173149235
피부전구암,323,283,606,0.0020219482145029475
담낭담석,242,335,577,0.001925188316449176
호흡기 결핵,309,254,563,0.0018784766415266658
동상,299,227,526,0.0017550243578028884
협심증 ,275,176,451,0.001504783242146583
만성 백혈병,297,153,450,0.0015014466939378324
소화기암 ,225,205,430,0.0014347157297628175
영양실조,189,232,421,0.0014046867958840607
[한방]추간판탈출증_목 디스크 ,194,192,386,0.001287907608577785
[한방]위식도 역류질환,186,198,384,0.0012812345121602836
[한방]오십견,241,143,384,0.0012812345121602836
[한방]염증성 다발관절병증,174,164,338,0.0011277532945577495
황반변성,195,142,337,0.0011244167463489987
유산,0,312,312,0.0010410030411302303
신장암,171,134,305,0.0010176472036689751
도박중독,286,7,293,0.0009776086251639662
골다공증,168,120,288,0.0009609258841202126
구강암,130,144,274,0.0009142142091977022
피부암,135,132,267,0.0008908583717364471
욕창,149,101,250,0.0008341370521876845
자궁근종,0,230,230,0.0007674060880126697
건강염려증,165,61,226,0.0007540598951776669
벌 쏘임,149,74,223,0.0007440502505514147
심정지 ,127,93,220,0.0007340406059251624
심부전,130,84,214,0.000714021316672658
간암,101,109,210,0.000700675123837655
파킨슨증,157,50,207,0.0006906654792114028
알코올성 간질환,146,39,185,0.0006172614186188865
췌장암,28,138,166,0.0005538670026526226
불임,32,129,161,0.0005371842616088689
미숙아,87,72,159,0.0005305111651913673
전립선증식증,154,0,154,0.0005138284241476137
진통 및 분만의 합병증,0,143,143,0.0004771263938513556
담도담석,57,82,139,0.0004637802010163526
대장암,84,49,133,0.0004437609117638482
복합부위통증증후군,84,47,131,0.00043708781534634677
C형간염,84,46,130,0.000433751267137596
고환암,124,0,124,0.00041373197788509156
간경변증,69,48,117,0.00039037614042383635
대퇴경부골절,73,39,112,0.0003736933993800827
자궁암,0,102,102,0.0003403279172925753
고위험산모_조기진통,0,85,85,0.0002836065977438127
머릿니 감염증,12,56,68,0.0002268852781950502
[한방]감염성 관절병증,33,28,61,0.00020352944073379504
A형간염,36,19,55,0.0001835101514812906
자궁경부암,0,54,54,0.00018017360327253986
[한방]뇌졸중,25,26,51,0.00017016395864628765
흉부대동맥류,34,13,47,0.0001568177658112847
자궁내막암(자궁체부암),0,47,47,0.0001568177658112847
유방암,1,36,37,0.0001234522837237773
고위험산모_임신성 당뇨병,0,36,36,0.00012011573551502658
뱀 물림,26,6,32,0.00010676954268002362
폐암,17,15,32,0.00010676954268002362
흡연(니코틴중독),14,7,21,7.006751238376551e-05
심근경색증,14,7,21,7.006751238376551e-05
당뇨병성족부궤양,10,10,20,6.673096417501476e-05
위암,9,10,19,6.339441596626403e-05
실명,10,8,18,6.005786775751329e-05
치매,13,5,18,6.005786775751329e-05
진행정도 상세불명 위암,8,10,18,6.005786775751329e-05
방광암,4,9,13,4.33751267137596e-05
고위험산모_선천성 태아기형 ,0,9,9,3.0028933878756645e-05
전립선암,8,0,8,2.6692385670005905e-05
고위험산모_자궁경관무력증,0,8,8,2.6692385670005905e-05
조산,0,7,7,2.3355837461255168e-05
"고위험산모_임신중독증(고혈압, 단백뇨, 부종) ",0,6,6,2.001928925250443e-05
고위험산모_다태아임신,0,6,6,2.001928925250443e-05
진행형위암,3,1,4,1.3346192835002953e-05
고위험산모_저체중아 산모,0,4,4,1.3346192835002953e-05
고위험산모_전치태반,0,3,3,1.0009644626252216e-05
고위험산모_자궁기형,0,1,1,3.336548208750738e-06
조기위암,0,0,0,0.0
식도암,0,0,0,0.0
산후우울증,0,0,0,0.0
후두암,0,0,0,0.0
