항목,남,여,총,비율(%)
루푸스,43,148,191,0.0004244186775149562
추간판탈출증(디스크) ,93,88,181,0.00040219780434663387
미주신경성 실신,64,115,179,0.00039775362971296947
욕창,76,80,156,0.0003466456214258281
담낭담석,73,68,141,0.00031331431167334466
[한방]관절병증,82,56,138,0.00030664804972284793
공황장애,79,48,127,0.0002822050892376934
하지의 정맥류,71,53,124,0.0002755388272871967
반월상 연골판 손상,80,41,121,0.0002688725653367
기흉,76,25,101,0.00022443081900005537
류마티스관절염,43,55,98,0.00021776455704955867
심부전,47,45,92,0.0002044320331485653
추간판탈출증_허리 디스크 ,50,41,91,0.00020220994583173307
추간판탈출증_목 디스크 ,43,47,90,0.00019998785851490082
[한방]퇴행성 관절증,51,33,84,0.00018665533461390745
고환암,78,0,78,0.00017332281071291404
만성 백혈병,28,44,72,0.00015999028681192067
황반변성,31,40,71,0.00015776819949508844
조현병,57,13,70,0.0001555461121782562
난소암,0,68,68,0.00015110193754459174
피부암,33,35,68,0.00015110193754459174
분노조절장애,46,21,67,0.00014887985022775952
거식증,29,30,59,0.00013110315169310164
결핵,30,22,52,0.00011554854047527602
오십견,22,29,51,0.00011332645315844381
간경변증,28,23,51,0.00011332645315844381
췌장암,25,19,44,9.777184194061819e-05
[한방]위식도 역류질환,19,24,43,9.554975462378596e-05
[한방]염증성 다발관절병증,25,18,43,9.554975462378596e-05
파킨슨증,23,17,40,8.888349267328926e-05
소화기암 ,22,14,36,7.999514340596033e-05
다낭성 난소증후군,0,34,34,7.555096877229587e-05
구강암,21,13,34,7.555096877229587e-05
척추관 협착증 ,16,16,32,7.110679413863141e-05
담도담석,9,21,30,6.666261950496694e-05
골다공증,17,13,30,6.666261950496694e-05
폭식증,18,12,30,6.666261950496694e-05
통풍,16,11,27,5.999635755447025e-05
갑상선암,5,18,23,5.1108008287141324e-05
대퇴경부골절,13,10,23,5.1108008287141324e-05
협심증 ,7,10,17,3.7775484386147935e-05
C형간염,9,8,17,3.7775484386147935e-05
기면증,4,11,15,3.333130975248347e-05
흉부대동맥류,7,7,14,3.110922243565124e-05
실명,9,4,13,2.8887135118819006e-05
폐암,6,7,13,2.8887135118819006e-05
인격장애,9,2,11,2.4442960485154546e-05
방광암,4,7,11,2.4442960485154546e-05
흡연(니코틴중독),5,6,11,2.4442960485154546e-05
[한방]추간판탈출증_목 디스크 ,10,1,11,2.4442960485154546e-05
전립선증식증,11,0,11,2.4442960485154546e-05
[한방]추간판탈출증_허리 디스크 ,6,4,10,2.2220873168322315e-05
뱀 물림,10,0,10,2.2220873168322315e-05
호흡기 결핵,5,5,10,2.2220873168322315e-05
치매,9,1,10,2.2220873168322315e-05
[한방]오십견,6,1,7,1.555461121782562e-05
전립선암,6,0,6,1.3332523900993387e-05
알코올중독증,2,4,6,1.3332523900993387e-05
건강염려증,2,4,6,1.3332523900993387e-05
손목터널증후군,6,0,6,1.3332523900993387e-05
복합부위통증증후군,5,1,6,1.3332523900993387e-05
A형간염,2,3,5,1.1110436584161157e-05
[한방]뇌졸중,5,0,5,1.1110436584161157e-05
[한방]감염성 관절병증,0,5,5,1.1110436584161157e-05
진통 및 분만의 합병증,0,5,5,1.1110436584161157e-05
알코올성 간질환,2,1,3,6.666261950496694e-06
대장암,1,1,2,4.444174633664463e-06
불임,0,2,2,4.444174633664463e-06
"고위험산모_임신중독증(고혈압, 단백뇨, 부종) ",0,1,1,2.2220873168322315e-06
후두암,0,0,0,0.0
식도암,0,0,0,0.0
고위험산모_다태아임신,0,0,0,0.0
자궁내막암(자궁체부암),0,0,0,0.0
심근경색증,0,0,0,0.0
산후우울증,0,0,0,0.0
도박중독,0,0,0,0.0
당뇨병성족부궤양,0,0,0,0.0
위암,0,0,0,0.0
유방암,0,0,0,0.0
유산,0,0,0,0.0
자궁경부암,0,0,0,0.0
자궁근종,0,0,0,0.0
자궁암,0,0,0,0.0
고위험산모_선천성 태아기형 ,0,0,0,0.0
조기위암,0,0,0,0.0
고위험산모_조기진통,0,0,0,0.0
고위험산모_전치태반,0,0,0,0.0
진행정도 상세불명 위암,0,0,0,0.0
진행형위암,0,0,0,0.0
고위험산모_저체중아 산모,0,0,0,0.0
고위험산모_자궁기형,0,0,0,0.0
고위험산모_자궁경관무력증,0,0,0,0.0
고위험산모_임신성 당뇨병,0,0,0,0.0
조산,0,0,0,0.0
