항목,남,여,총
[한방]추간판탈출증_목 디스크 ,5356,5802,11158
대장암,6317,4779,11096
"고위험산모_임신중독증(고혈압, 단백뇨, 부종) ",0,10659,10659
[한방]퇴행성 관절증,4898,5613,10511
[한방]안면마비 ,5704,4762,10466
결핵,5208,4728,9936
백내장,5304,4270,9574
심부전,6349,3109,9458
기면증,5348,3871,9219
급성 백혈병,4764,3998,8762
탈장,5454,2828,8282
미주신경성 실신,2117,5503,7620
호흡기 결핵,4005,3586,7591
골다공증,2232,5287,7519
자궁내막암(자궁체부암),0,7295,7295
고위험산모_자궁경관무력증,0,7236,7236
난소암,0,7211,7211
인격장애,4074,2965,7039
간경변증,3712,2856,6568
뇌종양_악성,3629,2379,6008
폭식증,294,5661,5955
기흉,4573,1047,5620
[한방]오십견,2844,2619,5463
만성 백혈병,3674,1740,5414
야뇨증 ,2617,2795,5412
육종,2891,2496,5387
황반변성,2504,2569,5073
아나필락시스(과민성 쇼크),2035,2982,5017
요실금 ,581,4293,4874
식중독 및 감염병 관련 질환,2362,2394,4756
혈우병,4345,159,4504
위암,1803,2633,4436
패혈증,1603,2489,4092
한랭질환 ,1592,2496,4088
구강암,2171,1742,3913
옴(Scabies),2036,1859,3895
신장암,2575,1297,3872
고위험산모_전치태반,0,3864,3864
고위험산모_선천성 태아기형 ,0,3860,3860
도박중독,3726,131,3857
감염성 관절병증,2289,1565,3854
[한방]염증성 다발관절병증,1875,1758,3633
수막뇌염,1618,1985,3603
의약품중독,883,2713,3596
[한방]위식도 역류질환,1395,2186,3581
심근경색증,3243,292,3535
복합부위통증증후군,2114,1307,3421
만성폐쇄성폐질환(COPD),1997,1292,3289
온열질환(폭염) ,1737,1524,3261
담도담석,1425,1794,3219
폐암,1370,1658,3028
분노조절장애,2493,279,2772
고환암,2705,1,2706
피부암,1426,1131,2557
고위험산모_저체중아 산모,0,2468,2468
진행정도 상세불명 위암,979,1427,2406
건강염려증,1325,908,2233
조산,0,2226,2226
간암,1291,756,2047
영양실조,656,1312,1968
C형간염,736,898,1634
췌장암,650,983,1633
거식증,144,1462,1606
심정지 ,1083,483,1566
파킨슨증,934,596,1530
수족구병,485,994,1479
진행형위암,622,849,1471
동상,683,774,1457
피부전구암,545,686,1231
흉부대동맥류,915,285,1200
벌 쏘임,801,247,1048
조기위암,386,654,1040
욕창,610,382,992
산후우울증,0,931,931
당뇨병성족부궤양,713,217,930
"구개, 구순열",530,391,921
방광암,688,187,875
고위험산모_자궁기형,0,786,786
[한방]뇌졸중,500,217,717
A형간염,376,228,604
흡연(니코틴중독),401,61,462
대퇴경부골절,286,136,422
[한방]감염성 관절병증,175,236,411
치매,171,152,323
전립선암,177,0,177
실명,92,50,142
뱀 물림,104,36,140
식도암,70,36,106
후두암,57,42,99
머릿니 감염증,24,36,60
미숙아,3,7,10
성조숙증,0,0,0
